Sr.,Job Start Date,Scrape Sale Qty.
1,11/10/2018 0:00,149
2,11/2/2018 0:00,230
3,11/13/2018 0:00,325
4,11/21/2018 0:00,350
5,8/29/2018 0:00,250
6,8/31/2018 0:00,310
7,6/28/2018 0:00,325
8,7/6/2018 0:00,595
9,7/3/2018 0:00,126.7
10,4/4/2018 0:00,305.3
11,6/2/2018 0:00,645
12,9/19/2018 0:00,148
13,9/27/2018 0:00,500
14,9/14/2018 0:00,265
15,11/16/2018 0:00,450
16,11/20/2018 0:00,130
17,7/21/2018 0:00,1135
18,7/30/2018 0:00,352
19,11/2/2018 0:00,390
20,10/7/2018 0:00,650
21,9/28/2018 0:00,565
22,10/5/2018 0:00,240.92
23,10/8/2018 0:00,120
24,10/15/2018 0:00,365
25,10/20/2018 0:00,390
26,11/27/2018 0:00,185
27,11/29/2018 0:00,210
28,9/13/2018 0:00,960
29,9/18/2018 0:00,175
30,9/23/2018 0:00,460
31,11/7/2018 0:00,730
32,9/5/2018 0:00,920
33,8/4/2018 0:00,146
34,8/7/2018 0:00,100
35,8/9/2018 0:00,110
36,8/10/2018 0:00,420
37,8/22/2018 0:00,310
38,8/26/2018 0:00,380
39,8/9/2018 0:00,1475
40,6/20/2018 0:00,246
41,6/22/2018 0:00,70
42,10/12/2018 0:00,225
43,10/23/2018 0:00,293
44,2/14/2018 0:00,363
45,11/23/2018 0:00,200
46,6/4/2018 0:00,665
47,6/22/2018 0:00,590
48,10/30/2018 0:00,225
49,10/30/2018 0:00,110
50,9/27/2018 0:00,360
51,10/6/2018 0:00,175
52,11/10/2018 0:00,530
53,5/7/2018 0:00,1100
54,6/28/2018 0:00,245
55,6/30/2018 0:00,228
56,8/5/2018 0:00,330
57,8/8/2018 0:00,260
58,8/13/2018 0:00,1230
59,5/11/2018 0:00,720
60,5/17/2018 0:00,83
61,5/20/2018 0:00,305
62,11/6/2018 0:00,140
63,3/30/2018 0:00,320
64,4/4/2018 0:00,525
65,9/22/2018 0:00,365
66,4/19/2018 0:00,254
67,4/24/2018 0:00,178
68,4/26/2018 0:00,98
69,3/31/2018 0:00,545
70,4/3/2018 0:00,385
71,4/8/2018 0:00,345
72,4/13/2018 0:00,320
73,4/30/2018 0:00,650
74,6/6/2018 0:00,170
75,5/13/2018 0:00,570
76,7/14/2018 0:00,670
77,7/24/2018 0:00,290
78,8/26/2018 0:00,620
79,8/16/2018 0:00,280
80,8/14/2018 0:00,100
81,10/18/2018 0:00,1340
82,8/2/2018 0:00,140
83,7/26/2018 0:00,520
84,7/13/2018 0:00,260
85,7/17/2018 0:00,775
86,7/24/2018 0:00,155
87,7/24/2018 0:00,725
88,7/26/2018 0:00,210
89,7/29/2018 0:00,575
90,7/2/2018 0:00,260
91,6/29/2018 0:00,500
92,7/2/2018 0:00,102
93,7/9/2018 0:00,800
94,9/19/2018 0:00,148
95,9/27/2018 0:00,500
96,9/14/2018 0:00,265
97,11/16/2018 0:00,450
98,11/20/2018 0:00,130
99,7/21/2018 0:00,1135
100,7/30/2018 0:00,352
101,2/21/2019 0:00,220
102,2/24/2019 0:00,181
103,2/26/2019 0:00,227
104,3/2/2019 0:00,355
105,1/28/2019 0:00,340
106,2/6/2019 0:00,570
107,2/16/2019 0:00,1320
108,6/28/2018 0:00,325
109,7/6/2018 0:00,595
110,7/3/2018 0:00,126.7
111,6/2/2018 0:00,274
112,6/2/2018 0:00,670
113,1/31/2019 0:00,320
114,2/17/2019 0:00,150
115,2/20/2019 0:00,590
116,3/1/2019 0:00,130
117,3/9/2019 0:00,270
118,9/30/2018 0:00,305
119,10/2/2018 0:00,350
120,6/25/2018 0:00,180
121,12/8/2018 0:00,715
122,8/5/2018 0:00,743
123,1/26/2019 0:00,280
124,3/14/2019 0:00,510
125,3/21/2019 0:00,600
126,11/3/2018 0:00,245
127,11/4/2018 0:00,245
128,4/26/2018 0:00,485
129,1/22/2019 0:00,645
130,12/7/2018 0:00,1190
131,1/1/2019 0:00,270
132,1/7/2019 0:00,340
133,1/9/2019 0:00,180
134,5/23/2018 0:00,225
135,5/28/2018 0:00,190
136,6/2/2018 0:00,1010
137,6/13/2018 0:00,170
138,2/2/2019 0:00,420
139,9/22/2018 0:00,420
140,9/29/2018 0:00,380
141,1/29/2019 0:00,590
142,1/9/2019 0:00,280
143,9/20/2018 0:00,350
144,5/9/2018 0:00,710
145,5/5/2018 0:00,210
146,4/1/2018 0:00,548
147,12/26/2018 0:00,333
148,12/31/2018 0:00,66.6
149,1/9/2019 0:00,505
150,1/12/2019 0:00,160
151,11/30/2018 0:00,345
152,12/6/2018 0:00,310
153,12/9/2018 0:00,395
154,12/20/2018 0:00,245.52
155,12/22/2018 0:00,580
156,1/20/2019 0:00,1125
157,2/2/2019 0:00,320
158,2/7/2019 0:00,340
159,2/15/2019 0:00,540
160,2/17/2019 0:00,400
161,12/14/2018 0:00,310
162,12/24/2018 0:00,410
163,1/2/2019 0:00,205
164,2/2/2019 0:00,445
165,2/5/2019 0:00,480
166,10/13/2018 0:00,340
167,10/25/2018 0:00,395
168,10/28/2018 0:00,625
169,7/17/2018 0:00,215
170,2/20/2019 0:00,250
171,2/26/2019 0:00,675
172,3/5/2019 0:00,1220
173,3/15/2019 0:00,685
174,3/14/2019 0:00,920
175,2/23/2019 0:00,260
176,3/21/2019 0:00,1070
177,3/26/2019 0:00,860
178,4/5/2019 0:00,440
179,4/1/2018 0:00,420
180,4/9/2018 0:00,310
181,4/23/2018 0:00,550
182,5/8/2018 0:00,1120
183,5/15/2018 0:00,995
184,5/22/2018 0:00,680
185,5/27/2018 0:00,1140
186,6/21/2018 0:00,1320
187,6/23/2018 0:00,990
188,7/2/2018 0:00,630
189,7/8/2018 0:00,860
190,8/9/2018 0:00,415
191,8/15/2018 0:00,465
192,9/20/2018 0:00,269
193,9/22/2018 0:00,288
194,10/1/2018 0:00,760
195,10/13/2018 0:00,435
196,10/17/2018 0:00,1045
197,10/27/2018 0:00,233
198,10/31/2018 0:00,335
199,11/23/2018 0:00,645
200,11/28/2018 0:00,620
201,12/2/2018 0:00,380
202,8/17/2018 0:00,1040
203,8/26/2018 0:00,323
204,9/30/2018 0:00,128
205,9/29/2018 0:00,256
206,4/12/2018 0:00,1050
207,4/21/2018 0:00,470
208,4/10/2018 0:00,305
209,8/26/2018 0:00,415
210,7/14/2018 0:00,625
211,9/20/2018 0:00,440
212,8/14/2018 0:00,1045
213,10/22/2018 0:00,110
214,10/18/2018 0:00,550
215,5/17/2018 0:00,625
216,4/1/2018 0:00,450
217,8/17/2018 0:00,831
218,4/2/2019 0:00,670
219,4/5/2019 0:00,250
220,4/19/2019 0:00,650
221,3/2/2019 0:00,1245
222,3/16/2019 0:00,209
223,3/20/2019 0:00,1020
224,3/24/2019 0:00,190
225,5/10/2019 0:00,300
226,3/30/2019 0:00,500
227,4/20/2019 0:00,317
228,4/24/2019 0:00,970
229,4/29/2019 0:00,310
230,5/1/2019 0:00,112
231,8/13/2018 0:00,605
232,4/17/2019 0:00,210
233,5/8/2019 0:00,1360
234,5/17/2019 0:00,295
235,8/17/2018 0:00,1040
236,5/21/2019 0:00,305
237,4/30/2019 0:00,570
238,4/22/2019 0:00,805
239,6/16/2019 0:00,765
240,4/9/2019 0:00,460
241,3/29/2019 0:00,640
242,9/25/2018 0:00,380
243,2/6/2019 0:00,535
244,1/11/2019 0:00,570
245,1/18/2019 0:00,425
246,5/22/2019 0:00,152
247,6/4/2019 0:00,135
248,6/6/2019 0:00,200
249,4/11/2019 0:00,455
250,7/3/2019 0:00,310
251,7/6/2019 0:00,380
252,6/27/2019 0:00,830
253,4/4/2019 0:00,210
254,6/27/2019 0:00,340
255,4/11/2019 0:00,281
256,4/20/2019 0:00,385
257,11/8/2018 0:00,385
258,2/20/2019 0:00,385
259,5/2/2019 0:00,385
260,7/19/2019 0:00,485
261,6/27/2019 0:00,680
262,7/1/2019 0:00,405
263,3/9/2019 0:00,420
264,3/9/2019 0:00,470
265,7/13/2019 0:00,100
266,6/24/2019 0:00,650
267,7/22/2019 0:00,160.5
268,7/29/2019 0:00,880
269,8/2/2019 0:00,140
270,10/1/2018 0:00,311
271,8/3/2019 0:00,185
272,8/2/2019 0:00,205
273,7/31/2019 0:00,205
274,8/5/2019 0:00,205
275,9/18/2018 0:00,204
276,8/13/2019 0:00,970
277,8/23/2019 0:00,300
278,7/10/2019 0:00,570
279,7/13/2019 0:00,385
280,8/31/2019 0:00,575
281,9/5/2019 0:00,180
282,9/21/2018 0:00,204
283,5/23/2019 0:00,280
284,6/30/2019 0:00,465
285,7/30/2019 0:00,180
286,7/11/2019 0:00,570
287,7/4/2019 0:00,910
288,8/7/2019 0:00,770
289,8/11/2019 0:00,140
290,8/14/2019 0:00,185
291,9/4/2019 0:00,136
292,9/2/2019 0:00,162
293,8/30/2019 0:00,420
294,10/5/2019 0:00,365
295,9/22/2019 0:00,515
296,9/8/2019 0:00,410
297,9/26/2019 0:00,350
298,7/22/2019 0:00,620
299,7/24/2019 0:00,620
300,10/16/2019 0:00,595
301,9/25/2019 0:00,691
302,9/7/2019 0:00,160
303,10/17/2019 0:00,272
304,10/21/2019 0:00,515
305,10/24/2019 0:00,155.5
306,9/16/2019 0:00,470
307,9/25/2019 0:00,458
308,10/1/2019 0:00,345
309,10/8/2019 0:00,210
310,8/30/2019 0:00,302
311,9/13/2019 0:00,450
312,10/25/2019 0:00,275
313,10/27/2019 0:00,880
314,11/3/2019 0:00,95
315,11/5/2019 0:00,114
316,11/13/2019 0:00,480
317,11/8/2018 0:00,570
318,12/23/2019 0:00,155.62
319,12/26/2019 0:00,280
320,11/19/2019 0:00,220
321,11/26/2019 0:00,920
322,12/17/2019 0:00,750
323,11/10/2019 0:00,915
324,12/19/2019 0:00,210
325,11/19/2019 0:00,290
326,1/20/2020 0:00,310
327,1/14/2020 0:00,715
328,1/18/2020 0:00,361
329,1/9/2020 0:00,740
330,1/13/2020 0:00,105
331,1/17/2020 0:00,945
332,2/4/2020 0:00,1005
333,1/19/2020 0:00,850
334,1/28/2020 0:00,520
335,2/1/2020 0:00,295
336,1/17/2020 0:00,87
337,2/4/2020 0:00,330
338,2/6/2020 0:00,640
339,2/11/2020 0:00,245
340,12/28/2019 0:00,1230
341,7/25/2019 0:00,705
342,8/5/2019 0:00,665
343,8/28/2019 0:00,710
344,9/4/2019 0:00,450
345,9/9/2019 0:00,343
346,9/21/2019 0:00,1080
347,9/29/2019 0:00,380
348,10/3/2019 0:00,430
349,10/8/2019 0:00,345
350,4/2/2019 0:00,610
351,5/11/2019 0:00,305
352,2/24/2020 0:00,515
353,2/17/2020 0:00,786
354,3/10/2020 0:00,350
355,11/15/2019 0:00,71
356,12/2/2019 0:00,775
357,12/6/2019 0:00,510
358,12/11/2019 0:00,680
359,1/1/2020 0:00,350
360,2/11/2020 0:00,1220
361,5/15/2020 0:00,260
362,5/14/2020 0:00,267
363,5/24/2020 0:00,152
364,6/3/2020 0:00,480
365,5/29/2020 0:00,260
366,6/8/2020 0:00,445
367,5/26/2020 0:00,750
368,4/7/2019 0:00,575
369,9/14/2019 0:00,540
370,3/10/2020 0:00,1010
371,6/19/2020 0:00,800
372,6/18/2020 0:00,1050
373,6/25/2020 0:00,1050
374,6/25/2020 0:00,410
375,6/15/2020 0:00,1260
376,7/14/2020 0:00,285
377,5/15/2020 0:00,535
378,7/9/2020 0:00,296
379,7/18/2020 0:00,245
380,7/20/2020 0:00,186
381,7/28/2020 0:00,355
382,7/30/2020 0:00,936
383,8/10/2020 0:00,152
384,7/29/2020 0:00,419
385,8/6/2020 0:00,1040
386,7/27/2020 0:00,380
387,7/27/2020 0:00,710
